id,name,type,zone_min,zone_max,sun,soils,water,goals,harvest,traits,notes,partner,query,life_cycle,horizon,days_to_maturity_min,days_to_maturity_max,first_output_years_min,first_output_years_max,full_output_years_min,full_output_years_max,productive_lifespan_years_min,productive_lifespan_years_max,mature_height_ft_min,mature_height_ft_max,mature_spread_ft_min,mature_spread_ft_max,spacing_plant_ft_min,spacing_plant_ft_max,spacing_row_ft_min,spacing_row_ft_max,spacing_area_sqft_min,spacing_area_sqft_max,plants_per_100_sqft_min,plants_per_100_sqft_max,planting_depth_in_min,planting_depth_in_max,planting_depth_kind,planting_depth_note,planting_depth_confidence,container_min_gallons,container_suitability,container_note,container_confidence,deer_resistance,deer_resistance_label,deer_resistance_confidence,deer_resistance_note,juglone_tolerance,juglone_tolerance_label,juglone_tolerance_confidence,juglone_tolerance_note,output_kind,output_unit,output_min,output_max,yield_lbs_unit,yield_lbs_min,yield_lbs_max,yield_lbs_confidence,yield_lbs_method,ten_year_yield_lbs_min,ten_year_yield_lbs_max,harvest_window_weeks_min,harvest_window_weeks_max,difficulty_score,reliability_score,maintenance_score,multi_use_score,risk_level,data_confidence,data_method,metric_source_keys,metric_notes,last_reviewed
li-jujube,Li jujube,fruit tree,5b,10a,full,loam; clay; sandy,low,fruit; curb-appeal,ripens in late summer to fall,crisp apple-like fruit; excellent heat tolerance,One of the best low-water fruit trees for hot inland sites.,raintree,Li jujube tree,woody perennial,Long horizon,,,2,4,5,8,15,25,15,25,10,20,10,20,12,25,120,500,0.2,0.8,0,0,root flare,Keep the root flare at soil level; graft unions stay above grade.,medium,25,limited,Use dwarf/root-pruned culture for long-term containers; in-ground usually performs better.,low,frequently-damaged,Frequently damaged,medium,"Use as a deer browsing cue, not a guarantee; heavy deer pressure can override resistance ratings.",sensitive,Juglone-sensitive,medium,"Use as a black walnut / juglone planning cue; tolerance varies by cultivar, soil, and distance from the tree.",edible,lb/plant/year,30,80,lb/plant/year,30,80,low,direct pound yield from crop metric source,181.7,484.6,8,14,2,4,4,2,lower,low,tree fruit template; rootstock and region can change values materially,purdue-midwest-fruit; psu-pome-spacing-yield; umd-tree-shrub-planting; umd-home-fruit-planting; umd-container-sizes; rutgers-deer-resistance; ncsu-plant-toolbox; psu-juglone-black-walnut,"Quantitative values are broad estimates; verify cultivar-specific nursery and local extension data before buying at scale.; Rootstock, pruning system, chill hours, and pest pressure can materially change yield and mature size.; Pound-return values are estimated ranges; source quality and unit conversions are flagged separately from basic growing data.",2026-05-31
lang-jujube,Lang jujube,fruit tree,5b,10a,full,loam; sandy; clay,low,fruit,ripens in fall,pear-shaped drying fruit; pairs well with Li,Plant with another jujube nearby for heavier crops.,raintree,Lang jujube tree,woody perennial,Long horizon,,,2,4,5,8,15,30,15,25,10,20,10,20,12,25,120,500,0.2,0.8,0,0,root flare,Keep the root flare at soil level; graft unions stay above grade.,medium,25,limited,Use dwarf/root-pruned culture for long-term containers; in-ground usually performs better.,low,frequently-damaged,Frequently damaged,medium,"Use as a deer browsing cue, not a guarantee; heavy deer pressure can override resistance ratings.",sensitive,Juglone-sensitive,medium,"Use as a black walnut / juglone planning cue; tolerance varies by cultivar, soil, and distance from the tree.",edible,lb/plant/year,30,80,lb/plant/year,30,80,low,direct pound yield from crop metric source,181.7,484.6,2,5,2,4,4,1,lower,low,tree fruit template; rootstock and region can change values materially,ncsu-plant-toolbox; mobot-plant-finder; umd-tree-shrub-planting; umd-home-fruit-planting; umd-container-sizes; rutgers-deer-resistance; psu-juglone-black-walnut,"Quantitative values are broad estimates; verify cultivar-specific nursery and local extension data before buying at scale.; Rootstock, pruning system, chill hours, and pest pressure can materially change yield and mature size.; Pollination context can change realized yield; use companion or compatible cultivar notes before planting.; Pound-return values are estimated ranges; source quality and unit conversions are flagged separately from basic growing data.",2026-05-31
wonderful-pomegranate,Wonderful pomegranate,fruit shrub,8a,10b,full,loam; sandy,low,fruit; curb-appeal; pollinators-wildlife; privacy-screening,ripens in fall,showy orange flowers; classic red arils,Excellent for hot dry sites with sharp drainage.,starkbros,Wonderful pomegranate plant,woody perennial,Medium horizon,,,3,3,5,6,10,25,6,12,6,10,14,18,18,18,252,324,0.3,0.4,0,0,root crown,Set the crown or top of root ball level with the surrounding soil.,medium,10,workable,Use 10+ gal; larger containers improve moisture buffering at maturity.,medium,unknown,Not rated,low,No deer-resistance category is assigned yet; treat browsing risk as local and variable.,mixed-uncertain,Mixed or uncertain,low,"Use as a black walnut / juglone planning cue; tolerance varies by cultivar, soil, and distance from the tree.",edible,fruit/plant/year,20,50,lb/plant/year,9,45,low,fruit-count range converted with conservative per-fruit weight; UGA supports timing and spacing but not a direct home-garden pounds-per-plant value,58.6,292.6,2,5,2,3,3,3,moderate,low,small fruit shrub template,uga-pomegranate-production; umd-tree-shrub-planting; umd-home-fruit-planting; umd-container-sizes; psu-juglone-black-walnut; ncsu-plant-toolbox,"Quantitative values are broad estimates; verify cultivar-specific nursery and local extension data before buying at scale.; Spacing may be tightened for screens, but dense planting can reduce airflow and increase maintenance.; Pound-return values are estimated ranges; source quality and unit conversions are flagged separately from basic growing data.",2026-05-31
russian-26-pomegranate,Russian 26 pomegranate,fruit shrub,7a,10a,full,loam; sandy; clay,low,fruit; curb-appeal; privacy-screening,ripens in early fall,more cold-tolerant pomegranate; compact habit,A practical pomegranate choice for marginal zone 7 gardens.,raintree,Russian 26 pomegranate,woody perennial,Medium horizon,,,3,3,5,6,10,25,6,12,6,10,14,18,18,18,252,324,0.3,0.4,0,0,root crown,Set the crown or top of root ball level with the surrounding soil.,medium,10,workable,Use 10+ gal; larger containers improve moisture buffering at maturity.,medium,unknown,Not rated,low,No deer-resistance category is assigned yet; treat browsing risk as local and variable.,mixed-uncertain,Mixed or uncertain,low,"Use as a black walnut / juglone planning cue; tolerance varies by cultivar, soil, and distance from the tree.",edible,fruit/plant/year,20,50,lb/plant/year,9,45,low,fruit-count range converted with conservative per-fruit weight; UGA supports timing and spacing but not a direct home-garden pounds-per-plant value,58.6,292.6,2,5,2,3,3,3,moderate,low,small fruit shrub template,uga-pomegranate-production; umd-tree-shrub-planting; umd-home-fruit-planting; umd-container-sizes; psu-juglone-black-walnut; ncsu-plant-toolbox,"Quantitative values are broad estimates; verify cultivar-specific nursery and local extension data before buying at scale.; Spacing may be tightened for screens, but dense planting can reduce airflow and increase maintenance.; Pound-return values are estimated ranges; source quality and unit conversions are flagged separately from basic growing data.",2026-05-31
gold-nugget-loquat,Gold Nugget loquat,fruit tree,8b,10b,full; partial,loam; sandy; clay,medium,fruit; curb-appeal,ripens in spring,evergreen foliage; sweet orange fruit,Best for mild-winter yards where late freezes are uncommon.,raintree,Gold Nugget loquat tree,woody perennial,Long horizon,,,3,5,5,8,15,30,10,25,10,20,15,25,12,25,180,625,0.2,0.6,0,0,root flare,Keep the root flare at soil level; graft unions stay above grade.,medium,25,limited,Use dwarf/root-pruned culture for long-term containers; in-ground usually performs better.,low,unknown,Not rated,low,No deer-resistance category is assigned yet; treat browsing risk as local and variable.,mixed-uncertain,Mixed or uncertain,low,"Use as a black walnut / juglone planning cue; tolerance varies by cultivar, soil, and distance from the tree.",edible,lb/plant/year,20,75,lb/plant/year,20,75,low,direct pound yield from crop metric source,110.7,415,2,5,3,3,4,2,moderate,low,tree fruit template; rootstock and region can change values materially,ncsu-plant-toolbox; mobot-plant-finder; umd-tree-shrub-planting; umd-home-fruit-planting; umd-container-sizes; psu-juglone-black-walnut,"Quantitative values are broad estimates; verify cultivar-specific nursery and local extension data before buying at scale.; Rootstock, pruning system, chill hours, and pest pressure can materially change yield and mature size.; Pound-return values are estimated ranges; source quality and unit conversions are flagged separately from basic growing data.",2026-05-31
mayhaw-superberry,Superberry mayhaw,fruit tree,6b,9b,full; partial,clay; loam,high,fruit; pollinators-wildlife,ripens in spring,handles wet soil; excellent jelly fruit,A smart fruiting tree for heavy or seasonally wet southern soils.,raintree,mayhaw tree Superberry,woody perennial,Long horizon,,,3,6,6,10,15,30,15,30,15,25,15,25,12,25,180,625,0.2,0.6,0,0,root flare,Keep the root flare at soil level; graft unions stay above grade.,medium,25,limited,Use dwarf/root-pruned culture for long-term containers; in-ground usually performs better.,low,unknown,Not rated,low,No deer-resistance category is assigned yet; treat browsing risk as local and variable.,mixed-uncertain,Mixed or uncertain,low,"Use as a black walnut / juglone planning cue; tolerance varies by cultivar, soil, and distance from the tree.",edible,lb/plant/year,20,60,lb/plant/year,20,60,low,direct pound yield from crop metric source,91.5,274.5,2,5,3,3,4,2,moderate,low,tree fruit template; rootstock and region can change values materially,ncsu-plant-toolbox; mobot-plant-finder; umd-tree-shrub-planting; umd-home-fruit-planting; umd-container-sizes; psu-juglone-black-walnut,"Quantitative values are broad estimates; verify cultivar-specific nursery and local extension data before buying at scale.; Rootstock, pruning system, chill hours, and pest pressure can materially change yield and mature size.; Water demand is high; expected output assumes consistent moisture during establishment and crop fill.; Pound-return values are estimated ranges; source quality and unit conversions are flagged separately from basic growing data.",2026-05-31
chickasaw-plum,Chickasaw plum,fruit shrub,5a,9b,full,clay; loam; sandy,low,fruit; pollinators-wildlife; curb-appeal; privacy-screening; low-maintenance-natives,ripens in early summer,native thicket-former; early pollinator flowers,"Tough, wildlife-friendly, and useful where cultivated plums struggle.",amazon,Chickasaw plum plant,woody perennial,Long horizon,,,4,5,6,8,12,20,12,20,12,20,14,20,20,25,280,500,0.2,0.4,0,0,root crown,Set the crown or top of root ball level with the surrounding soil.,medium,10,workable,Use 10+ gal; larger containers improve moisture buffering at maturity.,medium,frequently-damaged,Frequently damaged,medium,"Use as a deer browsing cue, not a guarantee; heavy deer pressure can override resistance ratings.",sensitive,Juglone-sensitive,medium,"Use as a black walnut / juglone planning cue; tolerance varies by cultivar, soil, and distance from the tree.",edible,lb/plant/year,75,120,lb/plant/year,75,120,medium,direct pound yield from crop metric source,375,600,2,5,3,3,3,4,moderate,medium,small fruit shrub template,purdue-midwest-fruit; psu-stone-spacing-yield; umn-stone-fruit; umd-tree-shrub-planting; umd-home-fruit-planting; umd-container-sizes; rutgers-deer-resistance; ncsu-plant-toolbox; psu-juglone-black-walnut,"Pollination context can change realized yield; use companion or compatible cultivar notes before planting.; Spacing may be tightened for screens, but dense planting can reduce airflow and increase maintenance.",2026-05-31
methley-plum,Methley plum,fruit tree,5b,9b,full,loam; clay; sandy,medium,fruit; pollinators-wildlife; curb-appeal,ripens in early summer,self-fertile Japanese plum; heavy bloom,A good warm-climate plum with reliable spring flowers.,starkbros,Methley plum tree,woody perennial,Long horizon,,,4,5,6,8,12,20,12,20,12,20,14,20,20,25,280,500,0.2,0.4,0,0,root flare,Keep the root flare at soil level; graft unions stay above grade.,medium,25,limited,Use dwarf/root-pruned culture for long-term containers; in-ground usually performs better.,low,frequently-damaged,Frequently damaged,medium,"Use as a deer browsing cue, not a guarantee; heavy deer pressure can override resistance ratings.",sensitive,Juglone-sensitive,medium,"Use as a black walnut / juglone planning cue; tolerance varies by cultivar, soil, and distance from the tree.",edible,lb/plant/year,75,120,lb/plant/year,75,120,medium,direct pound yield from crop metric source,375,600,2,5,3,3,4,3,moderate,medium,tree fruit template; rootstock and region can change values materially,purdue-midwest-fruit; psu-stone-spacing-yield; umn-stone-fruit; umd-tree-shrub-planting; umd-home-fruit-planting; umd-container-sizes; rutgers-deer-resistance; ncsu-plant-toolbox; psu-juglone-black-walnut,"Rootstock, pruning system, chill hours, and pest pressure can materially change yield and mature size.; Pollination context can change realized yield; use companion or compatible cultivar notes before planting.",2026-05-31
santa-rosa-plum,Santa Rosa plum,fruit tree,5b,9b,full,loam; sandy,medium,fruit,ripens in midsummer,tangy red-purple fruit; classic backyard plum,Best in full sun with good drainage and room for airflow.,starkbros,Santa Rosa plum tree,woody perennial,Long horizon,,,4,5,6,8,12,20,12,20,12,20,14,20,20,25,280,500,0.2,0.4,0,0,root flare,Keep the root flare at soil level; graft unions stay above grade.,medium,25,limited,Use dwarf/root-pruned culture for long-term containers; in-ground usually performs better.,low,frequently-damaged,Frequently damaged,medium,"Use as a deer browsing cue, not a guarantee; heavy deer pressure can override resistance ratings.",sensitive,Juglone-sensitive,medium,"Use as a black walnut / juglone planning cue; tolerance varies by cultivar, soil, and distance from the tree.",edible,lb/plant/year,75,120,lb/plant/year,75,120,medium,direct pound yield from crop metric source,375,600,2,5,3,3,4,1,moderate,medium,tree fruit template; rootstock and region can change values materially,purdue-midwest-fruit; psu-stone-spacing-yield; umn-stone-fruit; umd-tree-shrub-planting; umd-home-fruit-planting; umd-container-sizes; rutgers-deer-resistance; ncsu-plant-toolbox; psu-juglone-black-walnut,"Rootstock, pruning system, chill hours, and pest pressure can materially change yield and mature size.",2026-05-31
stanley-plum,Stanley prune plum,fruit tree,5a,8b,full,loam; clay,medium,fruit,ripens in late summer,European plum; good fresh or dried,A dependable choice for colder yards that still want tree fruit.,starkbros,Stanley plum tree,woody perennial,Long horizon,,,4,5,6,8,12,20,12,20,12,20,14,20,20,25,280,500,0.2,0.4,0,0,root flare,Keep the root flare at soil level; graft unions stay above grade.,medium,25,limited,Use dwarf/root-pruned culture for long-term containers; in-ground usually performs better.,low,frequently-damaged,Frequently damaged,medium,"Use as a deer browsing cue, not a guarantee; heavy deer pressure can override resistance ratings.",sensitive,Juglone-sensitive,medium,"Use as a black walnut / juglone planning cue; tolerance varies by cultivar, soil, and distance from the tree.",edible,lb/plant/year,75,120,lb/plant/year,75,120,medium,direct pound yield from crop metric source,375,600,2,5,3,3,4,1,moderate,medium,tree fruit template; rootstock and region can change values materially,purdue-midwest-fruit; psu-stone-spacing-yield; umn-stone-fruit; umd-tree-shrub-planting; umd-home-fruit-planting; umd-container-sizes; rutgers-deer-resistance; ncsu-plant-toolbox; psu-juglone-black-walnut,"Rootstock, pruning system, chill hours, and pest pressure can materially change yield and mature size.",2026-05-31
